               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.024153,           0.0078219,           0.0059235,             0.94272,             0.97983,             0.97605,             0.65765,            0.023159,           0.0059681,           0.0035566,            0.070484,           0.0032796,           0.0032796
                   1,             0.02547,           0.0076779,           0.0041408,             0.95083,             0.98965,             0.97666,             0.63858,            0.025182,           0.0060039,           0.0027933,            0.040418,           0.0065474,           0.0065474
                   2,            0.028681,            0.007841,           0.0048314,             0.92188,             0.97207,               0.953,             0.58754,            0.027959,           0.0062472,           0.0030694,            0.010287,           0.0097493,           0.0097493
                   3,            0.030308,           0.0080947,           0.0047942,             0.93958,             0.97358,             0.95855,             0.53239,            0.031561,           0.0062279,           0.0033937,            0.009703,            0.009703,            0.009703
                   4,            0.029153,           0.0077665,           0.0053522,             0.92875,             0.99217,             0.97831,             0.59508,            0.026908,           0.0061451,           0.0030527,            0.009703,            0.009703,            0.009703
                   5,            0.028214,           0.0075479,            0.005692,             0.94434,             0.99382,              0.9741,             0.62964,            0.025881,           0.0060476,           0.0033035,            0.009604,            0.009604,            0.009604
                   6,            0.027388,           0.0075044,           0.0049772,             0.94669,             0.97015,             0.97835,              0.5677,            0.027831,            0.006076,           0.0033507,            0.009505,            0.009505,            0.009505
                   7,            0.027208,           0.0078491,           0.0044783,             0.94974,             0.98453,             0.97401,             0.63786,            0.024803,           0.0058908,           0.0033662,            0.009406,            0.009406,            0.009406
                   8,            0.026511,            0.007415,           0.0041311,             0.95603,             0.98405,             0.97607,             0.64861,            0.024722,           0.0057688,            0.002985,            0.009307,            0.009307,            0.009307
                   9,            0.025932,            0.007174,           0.0040213,             0.95433,              0.9891,             0.97388,             0.60257,             0.02636,           0.0059161,           0.0030807,            0.009208,            0.009208,            0.009208
                  10,            0.025609,           0.0073425,            0.004291,             0.95396,             0.98089,             0.97367,              0.6113,            0.025265,           0.0058482,           0.0029685,            0.009109,            0.009109,            0.009109
                  11,            0.026893,           0.0073903,           0.0041811,             0.95694,             0.98636,             0.98092,             0.61947,            0.026716,           0.0059186,           0.0026996,             0.00901,             0.00901,             0.00901
                  12,            0.025943,           0.0072898,           0.0033758,             0.94674,              0.9828,             0.97568,             0.63095,            0.024853,           0.0057616,           0.0030344,            0.008911,            0.008911,            0.008911
                  13,            0.025973,           0.0071283,           0.0037797,             0.95139,             0.98607,             0.96767,             0.59346,            0.026536,           0.0057352,           0.0022599,            0.008812,            0.008812,            0.008812
